Pure static;;;Static compared;;;Dynamic compared;;;Converted to dynamic;;
N4Core3Gui8LabelRowINS0_15ComboModelBasedEEE;1;;;;;;;;Loading of: /home/valerii/workspace/Nexium/data/assets/baked/skybox/default.nxsky;1;
ModalPopUp;1;;;;;;;;___ Viewport;3;
ECSEditorMimeAdapter;1;;;;;;;;___ Assets editor;3;
data/assets/baked/mesh3d/Nature/DeadTree9.nxmesh3d;1;;;;;;;;___ NX Texture Editor;3;
NxEditorBaseEditorEWC;1;;;;;;;;___ World Lightning;3;
EditorSettingsEWC;1;;;;;;;;ModalAssetsSearchPopUpEWC;1;
data/assets/baked/image_document.nxtex;2;;;;;;;;17:43:37 [D] [Graphics] ShaderProgram | Creating of the shader program 'defaultTextured' is started.;3;
ListModelBased;1;;;;;;;;Skybox | {};2;
Widget;1;;;;;;;;ModalECSSearchPopUp;1;
gizmo_move;1;;;;;;;;Cancel;2;
data/assets/baked/mesh3d/Nature/BirchTree3.nxmesh3d;1;;;;;;;;GLFW Error [65544]: {};1;
uTexture;3;;;;;;;;OK;2;
BaseCombo;1;;;;;;;;___ Image viewer;3;
Label;1;;;;;;;;___ Settings;3;
CheckBox;1;;;;;;;;___;2;
TextEditorEWC;1;;;;;;;;___;2;
ModalECSSearchPopUpEWC;1;;;;;;;;Texture | Loading of: /home/valerii/workspace/Nexium/data/assets/baked/nxfile.nxtex;3;
data/assets/baked/mesh3d/Nature/Flower2.nxmesh3d;1;;;;;;;;Loading of: /home/valerii/workspace/Nexium/data/assets/baked/nxfile.nxtex;1;
GameViewportEWC;1;;;;;;;;Texture | Loading of: /home/valerii/workspace/Nexium/data/assets/baked/folder.nxtex;3;
uProj;307;;;;;;;;Loading of: /home/valerii/workspace/Nexium/data/assets/baked/folder.nxtex;1;
N4Core3Gui8LabelRowINS0_8CheckBoxEEE;1;;;;;;;;17:43:37 [T] [AssetsManager] Successfully preloaded. New status is: 'PreLoaded'. Asset: data/assets/baked/fireHydrant.nx;3;
ImageViewerEWC;1;;;;;;;;Texture | Loading of: /home/valerii/workspace/Nexium/data/assets/baked/image_document.nxtex;3;
N4Core3Gui8LabelRowINS0_9TextInputEEE;1;;;;;;;;Texture | Loading of: /home/valerii/workspace/Nexium/data/assets/baked/code_document.nxtex;3;
ModalAssetsSearchPopUpEWC;2;;;;;;;;Loading of: /home/valerii/workspace/Nexium/data/assets/baked/code_document.nxtex;1;
SceneTreeWindowEWC;1;;;;;;;;Texture | Loading of: /home/valerii/workspace/Nexium/data/assets/baked/document.nxtex;3;
Spectator;1;;;;;;;;17:43:37 [T] [Ecs] Type 'TextEditorEWC' has been registered.;4;
data/assets/baked/mesh3d/Nature/Flower5.nxmesh3d;1;;;;;;;;___ Scene;3;
Button;1;;;;;;;;Origin;2;
uMinimalDistanceBetweenPixels;1;;;;;;;;Scale;2;
N4Core3Gui8NumInputIiEE;1;;;;;;;;H-Layout(W): Scale;2;
AssetsManagerWindowEWC;1;;;;;;;;17:43:37 [T] [Ecs] Type 'N4Core3Gui8LabelRowINS0_9BaseArrayINS_10BaseStringIcEENS0_32_StringArray_ArrayCellViewerFuncENS0_26_StringArray_ViewFetchFuncEEEEE' has been registered.;3;
TextInput;1;;;;;;;;17:43:37 [T] [Ecs] Type 'ModalPopUp' has been registered.;5;
Color3Input;1;;;;;;;;H-Layout(W): Rotation;2;
data/assets/baked/mesh3d/fireHydrant.nxmesh3d;1;;;;;;;;Z:;4;
BaseList;1;;;;;;;;Output size;2;
data/assets/baked/mesh3d/Nature/Flower4.nxmesh3d;1;;;;;;;;H:;2;
Input;19;;;;;;;;17:43:37 [D] [InputDevices] Mapping was created: 'Save [Ctrl]';3;
skybox;310;;;;;;;;W:;2;
data/assets/baked/mesh3d/Nature/MapleTree1.nxmesh3d;1;;;;;;;;Input: Near plane;2;
ListView;1;;;;;;;;17:43:37 [T] [Ecs] Type 'N4Core3Gui8LabelRowINS0_9BaseArrayI18aiPostProcessStepsNS_43_AssimpPostProcessArray_ArrayCellViewerFuncENS_37_AssimpPostProcessArray_ViewFetchFuncEEEEE' has been registered.;3;
World Lightning;1;;;;;;;;17:43:37 [T] [Ecs] Type 'ShaderManagerEWC' has been registered.;4;
EditorMenuBarWindowEWC;1;;;;;;;;Near plane;2;
data/assets/baked/fireHydrant.nx;1;;;;;;;;H-Layout(W): Near plane;2;
N4Core3Gui9BaseArrayI18aiPostProcessStepsNS_43_AssimpPostProcessArray_ArrayCellViewerFuncENS_37_AssimpPostProcessArray_ViewFetchFuncEEE;1;;;;;;;;Input: Far plane;2;
data/assets/baked/mesh3d/Nature/PineTree2.nxmesh3d;1;;;;;;;;17:43:37 [D] [InputDevices] {};13;
Separator;1;;;;;;;;Far plane;2;
Shader manager;1;;;;;;;;H-Layout(W): Far plane;2;
Spacer;5;;;;;;;;FOV;2;
Scene;1;;;;;;;;Creating of the shader program 'pickUpColorFiller' is started.;1;
aUV;2;;;;;;;;17:43:37 [I] [Graphics] ShaderManager | Was found shader: defaultTextured;3;
data/assets/baked/mesh3d/Nature/DeadTree3.nxmesh3d;1;;;;;;;;H-Layout(W): Position;2;
N4Core3Gui8LabelRowINS0_11VecNumInputILm3EfEEEE;1;;;;;;;;ShaderProgram | The shader program 'outline' linked successfully.;3;
data/assets/baked/tree.nx;1;;;;;;;;The shader program 'outline' linked successfully.;1;
data/assets/baked/document.nxtex;2;;;;;;;;Type 'BaseInput' has been registered.;3;
ECSEditorGraphicsComponentDataAdapter;1;;;;;;;;Type 'Label' has been registered.;3;
data/assets/baked/mesh3d/Nature/Flower1.nxmesh3d;1;;;;;;;;Type 'EditorMenuBarWindowEWC' has been registered.;3;
Z:;6;;;;;;;;17:43:37 [T] [Ecs] Type 'ArrayCell' has been registered.;4;
N4Core3Gui8LabelRowINS0_9BaseArrayINS_21GraphicsComponentData13ModifierParamENS_43_GraphicsModifiersArray_ArrayCellViewerFuncENS_37_GraphicsModifiersArray_ViewFetchFuncEEEEE;1;;;;;;;;Frame size(ration);2;
N4Core3Gui8LabelRowINS0_8NumInputIfEEEE;1;;;;;;;;ShaderProgram | The shader program 'objectIdentifier' linked successfully.;3;
InvalidComponent;1;;;;;;;;Type 'N4Core3Gui11VecNumInputILm2EiEE' has been registered.;3;
BaseComponent;1;;;;;;;;The shader program 'objectIdentifier' linked successfully.;1;
EditorSettingsEWC::ColorItem;1;;;;;;;;Type 'EditorSettingsEWC' has been registered.;3;
data/assets/baked/code_document.nxtex;2;;;;;;;;Mapping was created: 'Move down';3;
data/assets/baked/mesh3d/Nature/BirchTree2.nxmesh3d;1;;;;;;;;17:43:37 [T] [Ecs] Type 'ECSEditorGraphicsComponentDataAdapter' has been registered.;3;
data/assets/baked/mesh3d/Nature/BirchTree5.nxmesh3d;1;;;;;;;;H-Layout(W): Frame size(ration);2;
data/assets/baked/mesh3d/Nature/PalmTree3.nxmesh3d;1;;;;;;;;Add;8;
data/assets/baked/mesh3d/Nature/MapleTree5.nxmesh3d;1;;;;;;;;Creating of the shader program 'objectIdentifier' is started.;1;
BaseCamera;1;;;;;;;;ShaderManager | Was found shader: objectIdentifier;3;
N4Core3Gui8LabelRowINS0_9BaseArrayINS_10BaseStringIcEENS0_32_StringArray_ArrayCellViewerFuncENS0_26_StringArray_ViewFetchFuncEEEEE;1;;;;;;;;Was found shader: objectIdentifier;1;
data/assets/baked/mesh3d/Nature/Bush1.nxmesh3d;1;;;;;;;;17:43:37 [D] [Graphics] ShaderManager | Was loaded 6 shaders.;3;
LogsWindowEWC;1;;;;;;;;17:43:37 [T] [Ecs] Type 'RootDockWindowEWC' has been registered.;4;
